半视场角deg,像高_px,角分辨率px_deg
0.0,0.0,15.76
2.0,31.0,15.76
4.0,63.0,15.76
6.0,94.0,15.76
8.0,125.0,15.76
9.9,157.0,15.76
11.9,188.0,15.76
13.9,220.0,15.76
15.9,251.0,15.76
17.9,282.0,15.76
19.9,314.0,15.76
21.9,345.0,15.76
23.9,376.0,15.76
25.9,408.0,15.76
27.9,439.0,15.76
29.8,471.0,15.76
31.8,502.0,15.76
33.8,533.0,15.76
35.8,565.0,15.76
37.8,596.0,15.76
39.8,627.0,15.76
41.8,659.0,15.76
43.8,690.0,15.76
45.8,721.0,15.76
47.8,753.0,15.76
49.7,784.0,15.76
51.7,816.0,15.76
53.7,847.0,15.76
55.7,878.0,15.76
57.7,910.0,15.76
59.7,941.0,15.76
61.7,972.0,15.76
63.7,1004.0,15.76
65.7,1035.0,15.76
67.7,1067.0,15.76
69.6,1098.0,15.76
71.6,1129.0,15.76
73.6,1161.0,15.76
75.6,1192.0,15.76
77.6,1223.0,15.76
79.6,1255.0,15.76
81.6,1286.0,15.76
83.6,1317.0,15.76
85.6,1349.0,15.76
87.6,1380.0,15.76
89.5,1412.0,15.76
91.5,1443.0,15.76
93.5,1474.0,15.76
95.5,1506.0,15.76
97.5,1537.0,15.76
