t_h,热_核心C,热_电池C,冷_核心C,冷_电池C,冷_加热W
0.0,20.0,20.0,20.0,20.0,0.0
0.16666666666666666,20.0,19.8,19.6,19.6,0.0
0.3333333333333333,20.1,19.9,19.3,19.3,0.0
0.5,20.1,19.9,18.8,19.0,0.0
0.6666666666666666,20.2,20.0,6.9,11.4,0.0
0.8333333333333334,20.2,20.0,-3.0,4.2,3.0
1.0,20.3,20.1,-10.7,-1.8,3.0
1.1666666666666667,20.3,20.1,-11.6,-6.0,3.0
1.3333333333333333,20.3,20.1,-5.6,-2.1,3.0
1.5,20.3,20.1,-0.7,2.8,3.0
1.6666666666666667,20.3,20.1,3.4,7.2,3.0
1.8333333333333333,20.3,20.2,6.5,6.4,0.0
2.0,20.4,20.2,8.6,7.7,0.0
2.1666666666666665,20.4,20.2,3.3,6.1,0.0
2.3333333333333335,20.4,20.2,-5.8,2.5,3.0
2.5,20.4,20.2,-13.1,-4.1,3.0
2.6666666666666665,20.4,20.2,-19.1,-10.5,3.0
2.8333333333333335,20.4,20.2,-12.3,-8.7,3.0
3.0,20.4,20.2,-6.4,-3.2,3.0
3.1666666666666665,20.4,20.2,-1.4,2.0,3.0
3.3333333333333335,20.4,20.2,2.8,6.6,3.0
3.5,20.4,20.2,6.1,6.4,0.0
3.6666666666666665,20.4,20.2,7.0,7.1,0.0
3.8333333333333335,20.4,20.2,-3.0,4.3,3.0
4.0,20.4,20.2,-10.7,-1.8,3.0
4.166666666666667,20.4,20.2,-17.2,-8.4,3.0
4.333333333333333,20.4,20.2,-16.0,-11.2,3.0
4.5,20.4,20.2,-9.4,-6.3,3.0
4.666666666666667,20.4,20.2,-4.0,-0.7,3.0
4.833333333333333,20.4,20.2,0.7,4.2,3.0
5.0,20.4,20.2,4.6,7.4,0.0
5.166666666666667,20.4,20.2,7.2,6.7,0.0
5.333333333333333,20.4,20.2,0.9,5.2,3.0
5.5,20.4,20.2,-7.6,1.0,3.0
5.666666666666667,20.4,20.2,-14.6,-5.7,3.0
5.833333333333333,20.4,20.2,-19.4,-11.6,3.0
6.0,20.4,20.2,-12.2,-8.8,3.0
6.166666666666667,20.4,20.2,-6.3,-3.2,3.0
6.333333333333333,20.4,20.2,-1.3,2.1,3.0
6.5,20.4,20.2,2.9,6.6,3.0
6.666666666666667,20.4,20.2,6.2,6.4,0.0
6.833333333333333,20.4,20.2,5.7,6.6,0.0
7.0,20.4,20.2,-4.1,3.7,3.0
7.166666666666667,20.4,20.2,-11.6,-2.7,3.0
7.333333333333333,20.4,20.2,-18.0,-9.2,3.0
7.5,20.4,20.2,-15.3,-10.9,3.0
7.666666666666667,20.4,20.2,-8.9,-5.7,3.0
7.833333333333333,20.4,20.2,-3.5,-0.2,3.0
8.0,20.4,20.2,1.1,4.7,3.0
8.166666666666666,20.4,20.2,4.9,7.0,0.0
8.333333333333334,20.4,20.2,7.4,6.8,0.0
8.5,20.4,20.2,-0.2,5.2,3.0
8.666666666666666,20.4,20.2,-8.5,0.3,3.0
8.833333333333334,20.4,20.2,-15.3,-6.4,3.0
9.0,20.4,20.2,-18.6,-11.8,3.0
9.166666666666666,20.4,20.2,-11.6,-8.2,3.0
9.333333333333334,20.4,20.2,-5.8,-2.6,3.0
9.5,20.4,20.2,-0.9,2.6,3.0
9.666666666666666,20.4,20.2,3.3,7.1,3.0
9.833333333333334,20.4,20.2,6.4,6.4,0.0
10.0,20.4,20.2,4.5,6.1,0.0
10.166666666666666,20.4,20.2,-5.0,3.1,3.0
10.333333333333334,20.4,20.2,-12.4,-3.4,3.0
10.5,20.4,20.2,-18.6,-9.9,3.0
10.666666666666666,20.4,20.2,-14.5,-10.4,3.0
10.833333333333334,20.4,20.2,-8.2,-5.1,3.0
11.0,20.4,20.2,-3.0,0.4,3.0
11.166666666666666,20.4,20.2,1.5,5.2,3.0
11.333333333333334,20.4,20.2,5.2,6.7,0.0
11.5,20.4,20.2,7.7,7.0,0.0
11.666666666666666,20.4,20.2,-1.1,5.0,3.0
11.833333333333334,20.4,20.2,-9.2,-0.3,3.0
12.0,20.4,20.2,-15.9,-7.1,3.0
12.166666666666666,20.4,20.2,-17.8,-11.7,3.0
12.333333333333334,20.4,20.2,-10.9,-7.7,3.0
12.5,20.4,20.2,-5.2,-2.0,3.0
12.666666666666666,20.4,20.2,-0.4,3.1,3.0
12.833333333333334,20.4,20.2,3.7,7.5,3.0
13.0,20.4,20.2,6.7,6.5,0.0
13.166666666666666,20.4,20.2,3.3,5.5,0.0
13.333333333333334,20.4,20.2,-5.8,2.5,3.0
13.5,20.4,20.2,-13.1,-4.1,3.0
13.666666666666666,20.4,20.2,-19.3,-10.6,3.0
13.833333333333334,20.4,20.2,-13.8,-10.0,3.0
14.0,20.4,20.2,-7.6,-4.5,3.0
14.166666666666666,20.4,20.2,-2.4,0.9,3.0
14.333333333333334,20.4,20.2,2.0,5.6,3.0
14.5,20.4,20.2,5.5,6.5,0.0
14.666666666666666,20.4,20.2,7.8,7.1,0.0
14.833333333333334,20.4,20.2,-2.1,4.7,3.0
15.0,20.4,20.2,-10.0,-1.1,3.0
15.166666666666666,20.4,20.2,-16.6,-7.8,3.0
15.333333333333334,20.4,20.2,-17.0,-11.6,3.0
15.5,20.4,20.2,-10.3,-7.1,3.0
15.666666666666666,20.4,20.2,-4.7,-1.5,3.0
15.833333333333334,20.4,20.2,0.1,3.6,3.0
16.0,20.4,20.2,4.1,7.9,3.0
16.166666666666668,20.4,20.2,6.9,6.5,0.0
16.333333333333332,20.4,20.2,2.3,5.0,3.0
16.5,20.4,20.2,-6.6,1.9,3.0
16.666666666666668,20.4,20.2,-13.7,-4.8,3.0
16.833333333333332,20.4,20.2,-19.8,-11.2,3.0
17.0,20.4,20.2,-13.1,-9.5,3.0
17.166666666666668,20.4,20.2,-7.1,-3.9,3.0
17.333333333333332,20.4,20.2,-2.0,1.4,3.0
17.5,20.4,20.2,2.4,6.1,3.0
17.666666666666668,20.4,20.2,5.8,6.4,0.0
17.833333333333332,20.4,20.2,7.0,7.0,0.0
18.0,20.4,20.2,-3.0,4.3,3.0
18.166666666666668,20.4,20.2,-10.7,-1.8,3.0
18.333333333333332,20.4,20.2,-17.3,-8.4,3.0
18.5,20.4,20.2,-16.2,-11.3,3.0
18.666666666666668,20.4,20.2,-9.6,-6.5,3.0
18.833333333333332,20.4,20.2,-4.1,-0.9,3.0
19.0,20.4,20.2,0.5,4.1,3.0
19.166666666666668,20.4,20.2,4.5,7.5,0.0
19.333333333333332,20.4,20.2,7.2,6.7,0.0
19.5,20.4,20.2,1.1,5.2,3.0
19.666666666666668,20.4,20.2,-7.5,1.2,3.0
19.833333333333332,20.4,20.2,-14.4,-5.5,3.0
20.0,20.4,20.2,-19.5,-11.6,3.0
20.166666666666668,20.4,20.2,-12.4,-8.9,3.0
20.333333333333332,20.4,20.2,-6.5,-3.3,3.0
