部件,质量g,x_mm,y_mm,z_mm
导轨×4,265.69215,0,0,170.25
+Z端板,50.220000000000006,0,0,339.5
−Z端板,48.6,0,0,1.0
侧板103A×2,219.73815000000002,0,0,170.25
侧板103B×2,228.75615000000002,0,0,170.25
隔板105×3,59.535000000000004,0,0,110.0
电池支架106×2,70.0,0,0,175.0
镜座107×2,36.0,0,0,170.0
相机支架111×2,32.0,0,0,170.0
开关支架108,12.0,0,-40,4.0
天线座109×2,20.0,0,0,120.0
压线卡110×10,15.0,0,0,170.0
通信板E9,70.0,0,0,33.0
EPS板E8,95.0,0,0,55.0
OBC板E7,85.0,0,0,99.0
CM4载板E2+E1,124.0,0,0,119.0
18650×4,184.0,0,0,175.0
相机模组×2(含镜头),190.0,0,0,170.0
天线组件×2,50.0,0,0,120.0
线束+连接器,120.0,0,0,150.0
紧固件158颗,90.0,0,0,170.0
磁强计/IMU/传感器,45.0,0,0,90.0
磁力矩器×3,120.0,0,0,95.0
加热片+BMS,35.0,0,0,175.0
太阳阵72片+二极管,68.0,0,0,170.0
胶/三防漆,25.0,0,0,170.0
