t_s,距离km,裕量dB_9k6,裕量dB_57k6
0.0,500.0,23.9,15.9
5.013927576601671,500.0,23.9,15.9
10.027855153203342,502.0,23.8,15.8
15.041782729805014,504.0,23.8,15.8
20.055710306406684,508.0,23.7,15.7
25.069637883008355,512.0,23.7,15.7
30.08356545961003,518.0,23.6,15.6
35.097493036211695,524.0,23.5,15.5
40.11142061281337,531.0,23.3,15.3
45.12534818941504,540.0,23.2,15.2
50.13927576601671,549.0,23.0,15.0
55.15320334261838,560.0,22.9,14.9
60.16713091922006,571.0,22.7,14.7
65.18105849582173,583.0,22.5,14.5
70.19498607242339,597.0,22.3,14.3
75.20891364902506,611.0,22.1,14.1
80.22284122562674,626.0,21.9,13.9
85.23676880222841,642.0,21.7,13.7
90.25069637883009,659.0,21.5,13.5
95.26462395543174,676.0,21.2,13.2
100.27855153203342,694.0,21.0,13.0
105.29247910863509,713.0,20.8,12.8
110.30640668523677,732.0,20.6,12.6
115.32033426183844,750.0,20.3,12.3
120.33426183844011,769.0,20.1,12.1
125.34818941504177,788.0,19.9,11.9
130.36211699164346,806.0,19.7,11.7
135.3760445682451,824.0,19.5,11.5
140.38997214484678,840.0,19.4,11.4
145.40389972144845,855.0,19.2,11.2
150.41782729805013,869.0,19.1,11.1
155.4317548746518,881.0,18.9,10.9
160.44568245125348,891.0,18.8,10.8
165.45961002785515,899.0,18.8,10.8
170.47353760445682,905.0,18.7,10.7
175.4874651810585,908.0,18.7,10.7
180.50139275766017,909.0,18.7,10.7
185.51532033426184,908.0,18.7,10.7
190.5292479108635,904.0,18.7,10.7
195.54317548746516,898.0,18.8,10.8
200.55710306406684,889.0,18.9,10.9
205.5710306406685,879.0,19.0,11.0
210.58495821727018,866.0,19.1,11.1
215.59888579387186,852.0,19.2,11.2
220.61281337047353,837.0,19.4,11.4
225.6267409470752,820.0,19.6,11.6
230.64066852367688,803.0,19.8,11.8
235.65459610027855,784.0,20.0,12.0
240.66852367688023,766.0,20.2,12.2
245.68245125348187,747.0,20.4,12.4
250.69637883008355,728.0,20.6,12.6
255.71030640668522,709.0,20.8,12.8
260.7242339832869,691.0,21.1,13.1
265.73816155988857,673.0,21.3,13.3
270.7520891364902,655.0,21.5,13.5
275.7660167130919,639.0,21.7,13.7
280.77994428969356,623.0,22.0,14.0
285.79387186629526,608.0,22.2,14.2
290.8077994428969,594.0,22.4,14.4
295.8217270194986,581.0,22.6,14.6
300.83565459610026,569.0,22.7,14.7
305.84958217270196,557.0,22.9,14.9
310.8635097493036,547.0,23.1,15.1
315.8774373259053,538.0,23.2,15.2
320.89136490250695,530.0,23.4,15.4
325.9052924791086,523.0,23.5,15.5
330.9192200557103,516.0,23.6,15.6
335.93314763231194,511.0,23.7,15.7
340.94707520891365,507.0,23.7,15.7
345.9610027855153,504.0,23.8,15.8
350.974930362117,502.0,23.8,15.8
355.98885793871864,500.0,23.9,15.9
